ports,sourceMac
"{'port4': {'lldp': {'sourcePort': 'port4', 'systemName': 'us-prl-swac0', 'managementAddress': '10.100.86.2', 'portId': '11'}}}",ac:17:c8:5d:1b:f9
"{'port4': {'lldp': {'sourcePort': 'port4', 'systemName': 'US-SCL-AP01', 'managementAddress': '10.100.49.3', 'portId': 'b0:b8:67:c7:eb:c2'}}, 'port3': {'lldp': {'sourcePort': 'port3', 'systemName': 'us-scl-swac0', 'managementAddress': '10.100.49.2', 'portId': '25'}}, 'wan1': {'cdp': {'sourcePort': 'wan1', 'deviceId': 'Hydrochem_Taft_Dow_test_router_2', 'address': '12.163.210.30', 'portId': 'bridge1/ether2'}, 'lldp': {'sourcePort': 'wan1', 'systemName': 'Hydrochem_Taft_Dow_test_router_2', 'managementAddress': '12.163.210.30', 'portId': 'bridge1/ether2'}}, 'port5': {'lldp': {'sourcePort': 'port5', 'portId': 'c8:5b:76:e1:42:b9'}}}",ac:17:c8:5d:21:7f
"{'port5': {'lldp': {'sourcePort': 'port5', 'systemName': 'us-ccx-swac0', 'managementAddress': '10.100.77.2', 'portId': '4'}}}",ac:17:c8:5d:21:ef
,
"{'port3': {'lldp': {'sourcePort': 'port3', 'systemName': 'US-CWY-AP01', 'managementAddress': '10.100.33.31', 'portId': '90:4c:81:ca:69:0a'}}, 'port4': {'lldp': {'sourcePort': 'port4', 'portId': '08:92:04:26:af:13'}}}",ac:17:c8:5d:22:cf
"{'wan0': {'cdp': {'sourcePort': 'wan0', 'deviceId': 'Hydrochem_Rockdale', 'portId': 'bridge1/ether2'}, 'lldp': {'sourcePort': 'wan0', 'systemName': 'Hydrochem_Rockdale', 'managementAddress': '12.169.109.225', 'portId': 'bridge1/ether2'}}, 'port2': {'lldp': {'sourcePort': 'port2', 'systemName': 'us-rdx-swac0', 'managementAddress': '10.100.26.2', 'portId': '1'}}}",ac:17:c8:5d:22:e4
"{'port5': {'lldp': {'sourcePort': 'port5', 'portId': '38:14:28:e2:b2:78'}}, 'port4': {'lldp': {'sourcePort': 'port4', 'systemName': 'Meraki MX67C - 01708-CES-FW0', 'portId': '0'}}}",ac:17:c8:5d:03:64
,
"{'wan0': {'cdp': {'sourcePort': 'wan0', 'deviceId': 'Hydrochem_PSC_-_Pueblo_West_CO_674.ATRN', 'address': '65.157.77.134', 'portId': 'bridge1/ether4'}, 'lldp': {'sourcePort': 'wan0', 'systemName': 'Hydrochem_PSC_-_Pueblo_West_CO_674.ATRN', 'managementAddress': '65.157.77.134', 'portId': 'bridge1/ether4'}}, 'port5': {'lldp': {'sourcePort': 'port5', 'portId': 'g24'}}}",ac:17:c8:5d:26:1e
,
"{'port4': {'lldp': {'sourcePort': 'port4', 'systemName': 'US-TEC-AP01', 'managementAddress': '10.100.50.3', 'portId': '90:4c:81:ca:66:fe'}}, 'port3': {'lldp': {'sourcePort': 'port3', 'portId': '48:4a:e9:ca:9b:84', 'systemName': 'US-TEC-AP02', 'managementAddress': '10.100.50.4'}}}",ac:17:c8:5d:26:b1
"{'wan0': {'cdp': {'sourcePort': 'wan0', 'deviceId': 'Hydrochem_Port_Lavaca', 'address': '24.116.194.150', 'portId': 'bridge1'}, 'lldp': {'sourcePort': 'wan0', 'systemName': 'Hydrochem_Port_Lavaca', 'managementAddress': '24.116.194.150', 'portId': 'bridge1'}}, 'port3': {'lldp': {'sourcePort': 'port3', 'systemName': 'us-plx-swac0', 'managementAddress': '10.5.18.2', 'portId': '1'}}}",ac:17:c8:5d:26:b8
"{'port2': {'lldp': {'sourcePort': 'port2', 'portId': '08:92:04:8a:68:74'}}, 'port5': {'lldp': {'sourcePort': 'port5', 'systemName': 'US-IL-FLOR1-AP21', 'portId': 'eth1'}}}",ac:17:c8:5d:26:fe
"{'wan1': {'cdp': {'sourcePort': 'wan1', 'deviceId': 'Hydrochem_Waterford_Works', 'address': '71.168.222.29', 'portId': 'bridge1'}, 'lldp': {'sourcePort': 'wan1', 'systemName': 'Hydrochem_Waterford_Works', 'managementAddress': '71.168.222.29', 'portId': 'bridge1'}}, 'port3': {'lldp': {'sourcePort': 'port3', 'systemName': 'us-phi-swac0', 'managementAddress': '10.100.19.2', 'portId': '1'}}}",ac:17:c8:5d:27:83
"{'wan0': {'cdp': {'sourcePort': 'wan0', 'deviceId': 'Hydrochem_Longview_cable', 'address': '206.255.245.156', 'portId': 'bridge1/ether2'}, 'lldp': {'sourcePort': 'wan0', 'systemName': 'Hydrochem_Longview_cable', 'managementAddress': '206.255.245.156', 'portId': 'bridge1/ether2'}}, 'port3': {'lldp': {'sourcePort': 'port3', 'systemName': 'us-lvx-swac0', 'managementAddress': '10.100.32.2', 'portId': '2'}}}",ac:17:c8:5d:27:d0
"{'wan1': {'cdp': {'sourcePort': 'wan1', 'deviceId': 'Hydrochem_Monroe_MI', 'portId': 'bridge1/ether2'}, 'lldp': {'sourcePort': 'wan1', 'systemName': 'Hydrochem_Monroe_MI', 'managementAddress': '12.218.28.241', 'portId': 'bridge1/ether2'}}, 'port3': {'cdp': {'sourcePort': 'port3', 'deviceId': '0059dc12fbee', 'address': '10.100.10.2', 'portId': 'gi47'}, 'lldp': {'sourcePort': 'port3', 'systemName': 'switchaf95bd', 'portId': 'gi47'}}}",ac:17:c8:5d:28:71
"{'port3': {'lldp': {'sourcePort': 'port3', 'systemName': 'HP-2530-24G-PoEP', 'managementAddress': '10.100.35.176', 'portId': '1'}}}",ac:17:c8:5d:28:86
"{'port3': {'lldp': {'sourcePort': 'port3', 'systemName': 'US-PCA-AP01', 'managementAddress': '10.100.44.3', 'portId': '90:4c:81:ca:52:76'}}, 'wan0': {'cdp': {'sourcePort': 'wan0', 'deviceId': 'Hydrochem_Pittsburg_CA_4G', 'address': '192.168.10.2', 'portId': 'bridge1/ether3'}, 'lldp': {'sourcePort': 'wan0', 'systemName': 'Hydrochem_Pittsburg_CA_4G', 'managementAddress': '192.168.10.2', 'portId': 'bridge1/ether3'}}}",ac:17:c8:5d:28:f6
"{'port3': {'lldp': {'sourcePort': 'port3', 'portId': '28:80:23:d7:bd:23'}}, 'port5': {'lldp': {'sourcePort': 'port5', 'portId': '3c:52:82:cb:09:ce'}}, 'wan0': {'lldp': {'sourcePort': 'wan0', 'systemName': 'Meraki MX67C - 1143-CTC-FW0', 'portId': '2'}}}",ac:17:c8:5d:29:0b
"{'wan0': {'lldp': {'sourcePort': 'wan0', 'systemName': 'Hydrochem_Canal_Fulton', 'managementAddress': '12.236.220.46', 'portId': 'bridge1/ether2'}, 'cdp': {'sourcePort': 'wan0', 'deviceId': 'Hydrochem_Canal_Fulton', 'address': '12.236.220.46', 'portId': 'bridge1/ether2'}}, 'port5': {'lldp': {'sourcePort': 'port5', 'systemName': 'US-OH-CANA1-SW29', 'managementAddress': '10.5.4.29', 'portId': '13'}}}",ac:17:c8:5d:29:12
