name,serial,mac,publicIp,networkId,status,lastReportedAt,productType,model,tags,lanIp,gateway,ipType,primaryDns,secondaryDns,components,usingCellularFailover,wan1Ip,wan2Ip,wan2Gateway,wan2IpType,wan2PrimaryDns,wan2SecondaryDns,wan1Gateway,wan1IpType,wan1PrimaryDns,wan1SecondaryDns
01111-MDTW-AP0,Q2FD-6JWL-Z2VY,00:18:0a:1d:7f:40,174.210.224.216,L_636696397319512182,dormant,2023-03-14T15:09:13.944000Z,wireless,MR34,[],10.100.70.31,10.100.70.1,dhcp,10.64.12.42,10.64.12.43,,,,,,,,,,,,
00209-LAG-AP01,Q2FD-VAQC-8TFU,00:18:0a:1d:7c:f0,174.240.139.134,L_636696397319512682,dormant,2021-02-09T22:08:47.562000Z,wireless,MR34,[],10.100.12.32,10.100.12.1,static,10.10.200.1,10.10.1.101,,,,,,,,,,,,
San Ardo WAP1,Q2GD-G2SQ-BASP,00:18:0a:fa:76:d0,12.202.14.170,L_636696397319508635,online,2023-07-18T14:34:37.626000Z,wireless,MR18,"['DeerPark', 'recently-added']",10.20.39.62,10.20.39.1,dhcp,10.64.12.42,10.64.12.43,,,,,,,,,,,,
00209-PRL-FW0,Q2HY-2L5A-2Y64,ac:17:c8:5d:1b:f9,12.246.126.66,N_636696397319543641,online,2023-07-18T14:34:25.352000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,,12.246.126.66,12.246.126.65,static,8.8.8.8,4.2.2.2,,,,
00105-SCL-FW0 - US-LA-TAFT1,Q2HY-4R5K-XKRB,ac:17:c8:5d:21:7f,12.163.210.26,N_636696397319543640,online,2023-07-18T14:34:18.176000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,,12.163.210.26,12.163.210.25,static,8.8.8.8,1.1.1.1,,,,
00134-CCX-FW0,Q2HY-4WYM-BU4W,ac:17:c8:5d:21:ef,70.117.60.226,N_636696397319541884,online,2023-07-18T14:34:23.137000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,70.117.60.226,,,,,,70.117.60.225,static,209.18.47.61,209.18.47.62
00134-CCX-FW1,Q2HY-4ZG4-GGSS,ac:17:c8:5d:22:20,107.77.218.58,N_636696397319542729,online,2023-07-18T14:34:36.615000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,192.168.0.116,,,,,,192.168.0.1,dhcp,192.168.0.1,
00047-CHW-FW0,Q2HY-5CAB-ATYD,ac:17:c8:5d:22:cf,107.77.198.186,N_636696397319543937,online,2023-07-18T14:34:23.827000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,192.168.0.119,,,,,,192.168.0.1,dhcp,192.168.0.1,
00115-RDX-FW0,Q2HY-5CS3-TZ5Q,ac:17:c8:5d:22:e4,12.169.109.226,N_636696397319543255,online,2023-07-18T14:34:19.974000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,12.169.109.226,,,,,,12.169.109.225,static,8.8.8.8,1.1.1.1
1143-CTC-FW0,Q2HY-66WH-5T4M,ac:17:c8:5d:03:64,166.137.163.5,N_636696397319541443,online,2023-07-18T14:34:20.359000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,10.30.186.96,,,,,,10.30.186.97,dhcp,107.112.141.135,
01111-MDT-FW0,Q2HY-6HLU-JX3L,ac:17:c8:5d:03:d4,174.210.224.216,L_636696397319512182,dormant,2023-03-14T15:11:29.287000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},TRUE,,,,,,,,,,
01114-SOC-FW0,Q2HY-6JZK-3GUB,ac:17:c8:5d:26:1e,65.157.77.132,L_636696397319508634,online,2023-07-18T14:34:56.447000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,65.157.77.132,,,,,,65.157.77.134,dhcp,208.67.222.222,208.67.220.220
00219-TOK-FW0,Q2HY-6MMF-XVRJ,ac:17:c8:5d:26:72,107.77.199.123,N_636696397319542008,offline,2023-07-14T17:22:06.014000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,192.168.10.10,,,,,,192.168.10.1,dhcp,192.168.10.1,
00112-TEC-FW0,Q2HY-6QVH-ZZ32,ac:17:c8:5d:26:b1,166.137.83.62,N_636696397319544320,online,2023-07-18T14:34:56.812000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,,10.17.86.7,10.17.86.8,dhcp,107.112.201.135,,,,,
00124-PLX-FW0,Q2HY-6RC4-L7UJ,ac:17:c8:5d:26:b8,24.116.194.146,N_636696397319542332,online,2023-07-18T14:34:53.442000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,24.116.194.146,,,,,,24.116.194.145,static,24.116.0.53,24.116.2.50
00214-US-IL-FLOR1-FW1,Q2HY-6W8F-3RJM,ac:17:c8:5d:26:fe,206.83.24.95,N_636696397319544321,online,2023-07-18T14:34:19.193000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,206.83.24.95,,,,,,206.83.24.1,static,8.8.8.8,206.83.16.227
1706-PHI-FW0,Q2HY-7424-3J54,ac:17:c8:5d:27:83,71.168.222.26,N_636696397319543920,online,2023-07-18T14:34:42.914000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,,71.168.222.26,71.168.222.1,static,208.67.222.222,208.67.222.220,,,,
00112-LVX-FW0,Q2HY-77C3-84SZ,ac:17:c8:5d:27:d0,206.255.245.148,N_636696397319543938,online,2023-07-18T14:34:22.743000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,206.255.245.148,,,,,,206.255.245.1,dhcp,206.255.244.171,206.255.244.162
00358-DTE-FW0,Q2HY-7E7K-D5DW,ac:17:c8:5d:28:71,12.218.28.242,N_636696397319542859,online,2023-07-18T14:35:02.046000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,,12.218.28.242,12.218.28.241,static,8.8.8.8,1.1.1.1,,,,
00101-LTX-FW0,Q2HY-7F8A-BDY3,ac:17:c8:5d:28:86,50.208.94.53,N_636696397319541848,online,2023-07-18T14:34:28.184000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},FALSE,50.208.94.53,192.168.165.225,192.168.165.1,dhcp,192.168.165.1,,50.208.94.54,static,75.75.75.75,75.75.76.76
00028-PCA-FW0,Q2HY-7K3U-R7F3,ac:17:c8:5d:28:f6,174.195.65.35,N_636696397319544318,online,2023-07-18T14:34:19.920000Z,appliance,MX67C-NA,[],,,,,,{'powerSupplies': []},TRUE,,,,,,,,,,
