id,mac,description,ip,ip6,ip6Local,user,firstSeen,lastSeen,manufacturer,os,deviceTypePrediction,recentDeviceSerial,recentDeviceName,recentDeviceMac,recentDeviceConnection,ssid,vlan,switchport,usage,status,notes,groupPolicy8021x,adaptivePolicyGroup,smInstalled,pskGroup
k01e6ee,f4:8c:50:39:6a:cf,0927-02285-L,10.100.86.184,fd67:bc0b:3e:1:813c:e884:e957:7e55,fe80:0:0:0:ef14:bf2d:e3a2:720b,,2022-04-14T18:08:33Z,2023-07-26T16:52:15Z,Intel,Windows 10,,Q2HY-2L5A-2Y64,00209-PRL-FW0 - US-LA-STGA1,ac:17:c8:5d:1b:f9,Wired,,1,,"{'sent': 24884, 'recv': 25224, 'total': 50109}",Offline,,,,False,
k724289,80:5e:c0:c2:9b:d0,SIP-T46S,10.100.86.92,,,,2020-05-13T15:54:01Z,2023-07-27T15:36:41Z,YEALINK(XIAMEN) Network...,,,Q2HY-2L5A-2Y64,00209-PRL-FW0 - US-LA-STGA1,ac:17:c8:5d:1b:f9,Wired,,1,,"{'sent': 2277, 'recv': 3836, 'total': 6113}",Online,,,,False,
k8f63a2,82:75:4e:ca:be:14,,10.100.86.136,,fe80:0:0:0:1839:83c:8e70:c610,,2023-05-24T11:24:43Z,2023-07-27T15:35:14Z,,Apple iPhone,,Q2HY-2L5A-2Y64,00209-PRL-FW0 - US-LA-STGA1,ac:17:c8:5d:1b:f9,Wired,,1,,"{'sent': 1649, 'recv': 3544, 'total': 5194}",Online,,,,False,
k906920,80:5e:c0:99:c2:30,SIP-T41S,10.100.86.88,,,,2022-04-15T14:04:25Z,2023-07-27T15:36:41Z,YEALINK(XIAMEN) Network...,,,Q2HY-2L5A-2Y64,00209-PRL-FW0 - US-LA-STGA1,ac:17:c8:5d:1b:f9,Wired,,1,,"{'sent': 2265, 'recv': 3719, 'total': 5984}",Online,,,,False,
k969b28,f8:ac:65:96:56:22,0209-02904-L,10.100.86.113,2600:8807:806:8900:a4e3:bce2:3d59:373,fe80:0:0:0:bfe7:ea89:6c22:dc58,,2022-08-31T11:46:08Z,2023-07-27T15:36:41Z,Intel,Windows 10,,Q2HY-2L5A-2Y64,00209-PRL-FW0 - US-LA-STGA1,ac:17:c8:5d:1b:f9,Wired,,1,,"{'sent': 353160, 'recv': 895738, 'total': 1248898}",Online,,,,False,
k9794b3,54:80:28:e3:0a:60,,10.100.86.2,,,,2020-05-13T14:43:29Z,2023-07-27T09:55:41Z,Hewlett-Packard...,,,Q2HY-2L5A-2Y64,00209-PRL-FW0 - US-LA-STGA1,ac:17:c8:5d:1b:f9,Wired,,1,,"{'sent': 1, 'recv': 0, 'total': 1}",Offline,,,,False,
k9c9698,58:38:79:38:08:cd,RNP5838793808CD,10.100.86.20,,,,2020-06-18T16:53:11Z,2023-07-27T15:30:55Z,RICOH,Ricoh Printer,,Q2HY-2L5A-2Y64,00209-PRL-FW0 - US-LA-STGA1,ac:17:c8:5d:1b:f9,Wired,,1,,"{'sent': 509, 'recv': 101, 'total': 610}",Offline,,,,False,
k9ecc5c,80:5e:c0:c2:9c:3a,SIP-T46S,10.100.86.96,,,,2021-10-15T16:56:43Z,2023-07-27T15:36:41Z,YEALINK(XIAMEN) Network...,,,Q2HY-2L5A-2Y64,00209-PRL-FW0 - US-LA-STGA1,ac:17:c8:5d:1b:f9,Wired,,1,,"{'sent': 2276, 'recv': 3810, 'total': 6086}",Online,,,,False,
ka936af,fc:44:82:48:d1:db,LARSBH0K,10.100.86.141,,fe80:0:0:0:562c:fe73:f3d6:c5af,,2021-11-04T16:41:42Z,2023-07-27T15:36:41Z,Intel,Windows 10,,Q2HY-2L5A-2Y64,00209-PRL-FW0 - US-LA-STGA1,ac:17:c8:5d:1b:f9,Wired,,1,,"{'sent': 246630, 'recv': 613847, 'total': 860477}",Online,,,,False,
kb17a7c,30:89:4a:95:97:e6,LABRJDSX,10.100.86.69,,fe80:0:0:0:2888:5047:6b69:74f2,,2023-05-02T14:10:48Z,2023-07-26T20:04:37Z,Intel,Windows 10,,Q2HY-2L5A-2Y64,00209-PRL-FW0 - US-LA-STGA1,ac:17:c8:5d:1b:f9,Wired,,1,,"{'sent': 86461, 'recv': 470203, 'total': 556664}",Offline,,,,False,
